 
 # along tip axis: rho=0, s=   150.000000000000     
 85.50   -0.495446E-02    2.8500   -0.149E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 86.00   -0.498078E-02    2.8667   -0.149E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 86.50   -0.500753E-02    2.8833   -0.150E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 87.00   -0.503471E-02    2.9000   -0.151E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 87.50   -0.506233E-02    2.9167   -0.152E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 88.00   -0.509040E-02    2.9333   -0.153E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 88.50   -0.511894E-02    2.9500   -0.154E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 89.00   -0.514794E-02    2.9667   -0.154E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 89.50   -0.517742E-02    2.9833   -0.155E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 90.00   -0.520739E-02    3.0000   -0.156E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 90.50   -0.523786E-02    3.0167   -0.157E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 91.00   -0.526884E-02    3.0333   -0.158E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 91.50   -0.530034E-02    3.0500   -0.159E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 92.00   -0.533238E-02    3.0667   -0.160E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 92.50   -0.536497E-02    3.0833   -0.161E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 93.00   -0.539811E-02    3.1000   -0.162E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 93.50   -0.543182E-02    3.1167   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 94.00   -0.546612E-02    3.1333   -0.164E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 94.50   -0.550102E-02    3.1500   -0.165E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 95.00   -0.553652E-02    3.1667   -0.166E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 95.50   -0.557266E-02    3.1833   -0.167E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 96.00   -0.560943E-02    3.2000   -0.168E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 96.50   -0.564686E-02    3.2167   -0.169E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 97.00   -0.568495E-02    3.2333   -0.171E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 97.50   -0.572374E-02    3.2500   -0.172E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 98.00   -0.576323E-02    3.2667   -0.173E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 98.50   -0.580343E-02    3.2833   -0.174E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 99.00   -0.584438E-02    3.3000   -0.175E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 99.50   -0.588608E-02    3.3167   -0.177E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
100.00   -0.592856E-02    3.3333   -0.178E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
100.50   -0.597183E-02    3.3500   -0.179E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
101.00   -0.601592E-02    3.3667   -0.180E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
101.50   -0.606084E-02    3.3833   -0.182E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
102.00   -0.610662E-02    3.4000   -0.183E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
102.50   -0.615328E-02    3.4167   -0.185E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
103.00   -0.620084E-02    3.4333   -0.186E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
103.50   -0.624932E-02    3.4500   -0.187E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
104.00   -0.629876E-02    3.4667   -0.189E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
104.50   -0.634917E-02    3.4833   -0.190E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
105.00   -0.640058E-02    3.5000   -0.192E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
105.50   -0.645302E-02    3.5167   -0.194E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
106.00   -0.650651E-02    3.5333   -0.195E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
106.50   -0.656110E-02    3.5500   -0.197E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
107.00   -0.661679E-02    3.5667   -0.199E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
107.50   -0.667364E-02    3.5833   -0.200E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
108.00   -0.673166E-02    3.6000   -0.202E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
108.50   -0.679090E-02    3.6167   -0.204E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
109.00   -0.685139E-02    3.6333   -0.206E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
109.50   -0.691315E-02    3.6500   -0.207E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
110.00   -0.697624E-02    3.6667   -0.209E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
110.50   -0.704069E-02    3.6833   -0.211E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
111.00   -0.710654E-02    3.7000   -0.213E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
111.50   -0.717383E-02    3.7167   -0.215E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
112.00   -0.724261E-02    3.7333   -0.217E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
112.50   -0.731291E-02    3.7500   -0.219E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
113.00   -0.738479E-02    3.7667   -0.222E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
113.50   -0.745830E-02    3.7833   -0.224E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
114.00   -0.753348E-02    3.8000   -0.226E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
